"GCM","scenario","proj.year","Freq.BWBSpp","Freq.MSabN","Freq.ESSFabE","Freq.ESSFabS","Freq.MSdc1","Freq.MSdc2","Freq.ESSFmww","Freq.MSdc3","Freq.ESSFxv2","Freq.MHunp","Freq.ESSFxv1","Freq.ESSFxcw","Freq.IDFxc","Freq.ESSFwc4","Freq.IDFww","Freq.ICHmw3","Freq.ICHmw4","Freq.BGxh1","Freq.ICHmw5","Freq.BGxh2","Freq.BGxh3","Freq.ICHmw1","Freq.ESSFdcp","Freq.ESSFdkw","Freq.IDFxm","Freq.CWHmm1","Freq.MSdm2","Freq.CWHmm2","Freq.IDFxk","Freq.ESSFdkp","Freq.MSdm1","Freq.CWHwh2","Freq.ESSFdv2","Freq.ICHmc1a","Freq.ESSFdv1","Freq.SBSwk3a","Freq.ESSFdcw","Freq.ESSFwm2","Freq.IDFxw","Freq.ESSFwm3","Freq.ESSFwm4","Freq.ICHwk2","Freq.ICHwk3","Freq.ESSFwm1","Freq.ICHwk4","Freq.MSmw1","Freq.MSmw2","Freq.ESSFxvp","Freq.PPxh3","Freq.SBPSmc","Freq.PPxh1","Freq.PPxh2","Freq.IMAunp","Freq.ESSFxvw","Freq.ICHdk","Freq.MHun","Freq.IDFdk5","Freq.ESSFdvw","Freq.IDFdk2","Freq.CWHds2","Freq.CWHvh1","Freq.CWHvh3","Freq.ESSFvcp","Freq.SWBvks","Freq.CWHds1","Freq.ESSFdvp","Freq.ESSFwmw","Freq.CWHws1","Freq.ICHdm","Freq.ESSFmm1","Freq.ESSFmkp","Freq.ESSFmm2","Freq.ESSFwmp","Freq.ESSFmm3","Freq.BWBSvk","Freq.MHwh1","Freq.ICHmk1","Freq.ICHvk2","Freq.ICHmk2","Freq.ESSFvcw","Freq.ESSFwvp","Freq.ICHmm","Freq.ICHvk1","Freq.ICHdw4","Freq.ESSFmcp","Freq.ICHdw1","Freq.ESSFwh1","Freq.ICHvc","Freq.ESSFwh2","Freq.ESSFwh3","Freq.ICHdw3","Freq.SBSdh1","Freq.ESSFmk","Freq.ICHmk3","Freq.SBSdh2","Freq.ICHmk4","Freq.ICHmk5","Freq.ICHmc2","Freq.ESSFmv1","Freq.ESSFmh","Freq.BAFAunp","Freq.ESSFmw1","Freq.ICHxwa","Freq.MHwh","Freq.IDFdm1","Freq.IDFdm2","Freq.ESSFmw","Freq.ESSFxc1","Freq.ESSFxc2","Freq.ESSFvc","Freq.ESSFmmw","Freq.IDFdc","Freq.ICHwc","Freq.ESSFmw2","Freq.MHwhp","Freq.CMAwh","Freq.IDFdw","Freq.SWBvk","Freq.IDFmw1","Freq.IDFmw2","Freq.ESSFxc3","Freq.MSxk1","Freq.SBSmk2","Freq.MSxk2","Freq.BWBSwk1","Freq.MSdk","Freq.MSxk3","Freq.BWBSwk3","Freq.CDFmm","Freq.IDFxh1","Freq.SBSmm","Freq.ESSFdc1","Freq.ESSFdc2","Freq.SBSmh","Freq.CWHms2","Freq.MSdv","Freq.MSdw","Freq.SBSmc1","Freq.SBSun","Freq.ESSFdk1","Freq.ICHxw","Freq.ESSFmwp","Freq.SBSmc3","Freq.IDFww1","Freq.IDFxx2","Freq.ESSFxcp","Freq.BGxw1","Freq.IDFxh4","Freq.BGxw2","Freq.SBSmw","Freq.CWHwm","Freq.ESSFxh_WA","Freq.ESSFxw_OR","Freq.CWHmh_OR","Freq.CWHms_WA","Freq.BGdw_OR","Freq.IDFdh_MT","Freq.IMAun_WA","Freq.ESSFxx_WY","Freq.CWFwm_OR","Freq.MSxk_WA","Freq.MHms_WA","Freq.IMAun_MT","Freq.MHds_WA","Freq.ICHmh_MT","Freq.PPxx_OR","Freq.ESSFdh_WA","Freq.IMAun_UT","Freq.CMAun_WA","Freq.CWHvh_WA","Freq.IDFdm_WA","Freq.CWHxm_OR","Freq.MHRFdm_OR","Freq.JPWmk_WY","Freq.CWHds_WA","Freq.IMAun_ID","Freq.CWHms_OR","Freq.ESSFdk_MT","Freq.MHdm_OR","Freq.IMAun_OR","Freq.ESSFmw_WA","Freq.CMAun_OR","Freq.ESSFxc_WA","Freq.MHds_OR","Freq.MDCHun_NV","Freq.IDFdk_WA","Freq.ICHxw_WA","Freq.IDFxx_WA","Freq.IDFxx1","Freq.IDFxx_MT","Freq.MSdm_WA","Freq.MSxx_NV","Freq.MSxh_OR","Freq.BGmw_OR","Freq.MHRFmm_OR","Freq.IWFxm_CA","Freq.ICHmw_MT","Freq.ESSFwh_MT","Freq.BAFAun","Freq.BGdh_OR","Freq.BGdw_WA","Freq.BGmk_MT","Freq.BGmk_NV","Freq.BGmm_MT","Freq.BGmw_WA","Freq.BGwm_WA","Freq.BGxh_WA","Freq.BGxx_WY","Freq.BSJPap","Freq.BSJPku","Freq.BSJPpa","Freq.BWBScmC","Freq.BWBScmE","Freq.BWBScmNW","Freq.BWBScmW","Freq.BWBSdk","Freq.BWBSdmN","Freq.BWBSdmS","Freq.BWBSlbE","Freq.BWBSlbN","Freq.BWBSlbW","Freq.BWBSlf","Freq.BWBSmk","Freq.BWBSmw","Freq.BWBSnm","Freq.BWBSub","Freq.BWBSuf","Freq.BWBSwk2","Freq.CCHun_CA","Freq.CDFmm_OR","Freq.CDFxm_CA","Freq.CMAun","Freq.CMAun_CA","Freq.CMAunp","Freq.CMXdm_OR","Freq.CMXwm_OR","Freq.CMXxm_CA","Freq.CRFdh_CA","Freq.CVGdm_CA","Freq.CWFds_CA","Freq.CWFmm_OR","Freq.CWHdm","Freq.CWHdm_OR","Freq.CWHdm_WA","Freq.CWHms1","Freq.CWHvh2","Freq.CWHvm_OR","Freq.CWHvm_WA","Freq.CWHvm1","Freq.CWHvm2","Freq.CWHwh_WA","Freq.CWHwh1","Freq.CWHws2","Freq.CWHxm_WA","Freq.CWHxm1","Freq.CWHxm2","Freq.ESSFabC","Freq.ESSFabN","Freq.ESSFdk2","Freq.ESSFdm_ID","Freq.ESSFmc","Freq.ESSFmmp","Freq.ESSFmv2","Freq.ESSFmv3","Freq.ESSFmv4","Freq.ESSFmvp","Freq.ESSFun","Freq.ESSFunp","Freq.ESSFvh_ID","Freq.ESSFwc2","Freq.ESSFwc3","Freq.ESSFwcp","Freq.ESSFwcw","Freq.ESSFwk1","Freq.ESSFwk2","Freq.ESSFwm_MT","Freq.ESSFwv","Freq.ESSFxc_CO","Freq.ESSFxk_MT","Freq.ESSFxk_UT","Freq.ESSFxk_WY","Freq.FGff","Freq.FGnf","Freq.GBDdw_UT","Freq.GBDxh_NV","Freq.GBDxx_UT","Freq.GOun_CO","Freq.ICHdh_ID","Freq.ICHdw_ID","Freq.ICHmc1","Freq.ICHmw2","Freq.ICHvk_ID","Freq.ICHwk1","Freq.IDFdh_UT","Freq.IDFdh_WA","Freq.IDFdk_MT","Freq.IDFdk1","Freq.IDFdk3","Freq.IDFdk4","Freq.IDFdkx_MT","Freq.IDFdm_MT","Freq.IDFdx_MT","Freq.IDFdxx_WY","Freq.IDFxh_ID","Freq.IDFxh_WA","Freq.IDFxh2","Freq.IDFxm_CO","Freq.IGFdk_WA","Freq.IGFdw_OR","Freq.IGFmh_OR","Freq.IGFmm_OR","Freq.IGFxm_OR","Freq.IMAab","Freq.IMAun","Freq.IMAun_CO","Freq.IMAun_WY","Freq.IWFdm_CO","Freq.IWFdw_OR","Freq.IWFxk_NV","Freq.JPWdm_WY","Freq.JPWdw_UT","Freq.JPWwm_CO","Freq.JPWxh_CA","Freq.JPWxw_NV","Freq.MGPdm","Freq.MGPmg","Freq.MGPmw_MT","Freq.MHmm_WA","Freq.MHmm1","Freq.MHmm2","Freq.MHmmp","Freq.MHRFds_CA","Freq.MSabS","Freq.MSdh_MT","Freq.MSdh_UT","Freq.MSdh_WY","Freq.MSdk_CO","Freq.MSdw_MT","Freq.MSmm_ID","Freq.MSSDun_NV","Freq.MSxm_CO","Freq.MSxv","Freq.OWun_CA","Freq.PPmx_WY","Freq.PPxh_CO","Freq.PPxh_WA","Freq.PPxk_OR","Freq.PPxm_OR","Freq.PPxw_MT","Freq.PPxw_WY","Freq.SASbo","Freq.SBAPcp","Freq.SBAPfp","Freq.SBPSdc","Freq.SBPSmk","Freq.SBPSxc","Freq.SBSdk","Freq.SBSdw1","Freq.SBSdw2","Freq.SBSdw3","Freq.SBSmc2","Freq.SBSmk1","Freq.SBSvk","Freq.SBSwk1","Freq.SBSwk2","Freq.SBSwk3","Freq.SGPdm_CO","Freq.SWBmk","Freq.SWBmks","Freq.SWBun","Freq.SWBuns","Freq.WJPxm_OR"
"obs","obs",1975,0,0,0,0,0,0,0,0,0,0,0,0,0,5380,0,903,1972,0,3023,0,0,2149,0,2489,0,0,0,0,793,1340,3109,0,0,0,0,0,553,1241,0,1390,2930,0,0,469,0,0,0,0,30,0,0,0,0,0,0,0,1022,0,0,0,0,0,1846,0,0,0,1886,0,3083,0,0,1,911,968,0,0,367,0,0,1859,0,0,2432,0,0,7249,2474,0,288,1591,0,0,0,0,0,595,242,0,0,2433,0,0,52,0,2059,4933,0,0,0,4314,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518,0,0,0,0,0,2454,254,0,0,0,4247,0,0,4567,2885,0,0,0,2204,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5573,0,0,440,0,0,0,0,0,0,0,1428,0,3557,4040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024,0,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obs","obs",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,0,165,995,0,964,0,0,136,0,1210,0,0,0,0,0,577,6,0,0,0,0,0,14,81,0,0,713,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,12,0,0,0,329,0,680,0,0,0,298,24,0,0,4,0,0,74,0,0,774,0,0,3187,539,0,1,57,0,0,0,0,0,8,3,0,0,42,0,0,0,0,16,777,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,1091,0,0,845,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,0,0,11,0,0,0,0,0,0,0,538,0,1586,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ensemble","ssp245",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3276,NA,1077,1501,NA,1464,NA,NA,843,NA,2235,NA,NA,NA,NA,6,1788,438,NA,NA,NA,NA,NA,91,292,NA,658,1610,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,1691,NA,NA,NA,854,NA,1152,NA,NA,NA,328,222,NA,NA,207,NA,NA,1339,NA,NA,1187,NA,NA,5223,999,NA,5,924,NA,NA,NA,NA,NA,23,1,NA,NA,895,NA,NA,NA,NA,335,1507,NA,NA,NA,3481,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,NA,NA,NA,NA,NA,1232,76,NA,NA,NA,1268,NA,NA,1670,2476,NA,NA,NA,844,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,1253,NA,2641,2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4572,NA,2913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-ESM1-5","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,766,1369,0,1238,0,0,487,0,2088,0,0,0,0,0,1536,2,0,0,0,0,0,0,133,0,368,1118,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1036,0,0,0,589,0,308,0,0,0,147,92,0,0,5,0,0,909,0,0,697,0,0,4215,256,0,2,625,0,0,0,0,0,14,1,0,0,377,0,0,0,0,8,757,0,0,0,2986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,317,0,0,0,0,313,0,0,1077,1817,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,91,0,0,0,0,0,0,0,970,0,1463,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCC-CSM2-MR","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,0,663,1387,0,1326,0,0,96,0,1754,0,0,0,0,0,1384,10,0,0,0,0,0,3,37,0,424,1341,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0,0,900,0,438,0,0,0,166,18,0,0,11,0,0,758,0,0,226,0,0,3860,321,0,1,841,0,0,0,0,0,3,0,0,0,499,0,0,0,0,21,796,0,0,0,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,124,0,0,0,0,968,0,0,1267,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,0,42,0,0,0,0,0,0,0,1101,0,2103,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNRM-ESM2-1","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,883,1848,0,2200,0,0,1310,0,2545,0,0,0,0,55,1601,856,0,0,0,0,0,147,447,0,961,1958,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,2178,0,0,0,1249,0,1720,0,0,0,560,493,0,0,120,0,0,1906,0,0,1510,0,0,5444,1395,0,35,1227,0,0,0,0,0,39,33,0,0,1156,0,0,1,0,621,2148,0,0,0,3805,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,986,91,0,0,0,2665,0,0,2272,2538,0,0,0,1089,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935,0,0,339,0,0,0,0,0,0,0,1298,0,3220,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,0,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Earth3","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2832,0,975,1468,0,1312,0,0,200,0,1675,0,0,0,0,0,1618,21,0,0,0,0,0,3,161,0,409,1044,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1368,0,0,0,739,0,670,0,0,0,336,129,0,0,5,0,0,1021,0,0,675,0,0,4374,585,0,7,721,0,0,0,0,0,2,8,0,0,485,0,0,0,0,124,850,0,0,0,2612,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,293,0,0,0,0,1257,0,0,1164,1599,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,117,0,0,0,0,0,0,0,896,0,2544,2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076,0,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
